address	pmid	latitude	longitude
State Key Laboratory of Freshwater Ecology and Biotechnology, Institute of Hydrobiology, Chinese Academy of Sciences, Wuhan, Hubei 430072, China.	38421617	30.58333	114.2667
Max Planck Institute of Molecular Cell Biology and Genetics, 01307 Dresden, Germany.	38421032	51.04850	13.76532
Center for Systems Biology Dresden, 01307 Dresden, Germany.	38421032	51.04850	13.76532
Cluster of Excellence Physics of Life, TU Dresden, 01062 Dresden, Germany.	38421032	51.05099	13.73363
School of Biological Sciences, The University of Hong Kong, Hong Kong, China.	38415852	22.28326	114.13754
Department of Organismic and Evolutionary Biology, Harvard University, Cambridge, MA 02138, USA.	38415852	42.37742	-71.12245
Department of Ecology and Evolutionary Biology, Tulane University, New Orleans, LA 70118, USA.	38415852	29.94923	-90.12312
Cornell Lab of Ornithology and Department of Neurobiology and Behavior, Cornell University, Ithaca, NY 14853, USA.	38415852	42.45139	-76.48186
DOE Great Lakes Bioenergy Research Center, University of Wisconsin-Madison, Madison, WI 53726, USA.	38415839	43.07027	-89.42196
Laboratory of Genetics, Center for Genomic Science Innovation, Wisconsin Energy Institute, J. F. Crow Institute for the Study of Evolution, University of Wisconsin-Madison, Madison, WI 53726, USA.	38415839	43.07027	-89.42196
Evolutionary Studies Initiative and Department of Biological Sciences, Vanderbilt University, Nashville, TN 37235, USA.	38415839	36.14599	-86.80443
UCIBIO, Department of Life Sciences, NOVA School of Science and Technology, Universidade NOVA de Lisboa, Caparica, Portugal.	38415839	38.66179	 -9.20032
Biology Department, Villanova University, Villanova, PA 19085, USA.	38415839	40.03754	-75.34927
Department of Bioinformatics and Genomics, University of North Carolina at Charlotte, Charlotte, NC 28223, USA.	38415839	35.30195	-80.730238
Westerdijk Fungal Biodiversity Institute, 3584 CT Utrecht, The Netherlands.	38415839	52.09060	  5.177054
Guangdong Province Key Laboratory of Microbial Signals and Disease Control, Integrative Microbiology Research Center, South China Agricultural University, Guangzhou 510642, China.	38415839	25.70628	-99.239680
College of Agriculture and Biotechnology and Centre for Evolutionary & Organismal Biology, Zhejiang University, Hangzhou 310058, China.	38415839	30.06517	102.195270
Plant Physiology, Department of Organisms and Systems Biology, Faculty of Biology and Biotechnology Institute of Asturias, University of Oviedo, Asturias, Spain.	38411627	43.36028	 -5.844792
Unit of Evolutionary Biology/Systematic Zoology, Institute of Biochemistry and Biology, University of Potsdam, Potsdam, Germany.	38410843	52.39615	 13.058538
